relative_path,bytes,sha256,generated_at_utc,policy_version,code_commit
reports/part7/decision_input_reconciliation.csv,72,ed2ef146ba7c56506d2429dc2c3102faa07b8129217b37466d7bd7667b9bfbc9,2026-09-02T22:20:45.122492+00:00,NOT_FROZEN,f6f852f6a09bc8888170b059cec38a6aed1b3242
reports/part7/P7_FINAL_HARDENING_AUDIT.md,1411,71455c4fcca572f8c72be039fd34a917c3270fd3961368ef5963303780812f79,2026-09-02T22:20:45.123038+00:00,NOT_FROZEN,f6f852f6a09bc8888170b059cec38a6aed1b3242
reports/part7/P7_PERFORMANCE_BENCHMARK.json,1298,104c27bf9112bdcbfa53cff4cc479c995a5fc2e8f4da8542eb0c2d601df95734,2026-09-02T22:20:45.131530+00:00,NOT_FROZEN,f6f852f6a09bc8888170b059cec38a6aed1b3242
reports/part7/P7_PERFORMANCE_BENCHMARK.md,999,24e1e2bda461bf039f3cbd0702b9ee526491ae69e2ac34dccb277c4df77ff168,2026-09-02T22:20:45.132180+00:00,NOT_FROZEN,f6f852f6a09bc8888170b059cec38a6aed1b3242
reports/part7/P7_PUBLIC_EVIDENCE_RECONCILIATION.json,642,7842b66d407082cedb30c08f190e54a5e6dd4ed33d8e547cb4b0233c66ac388f,2026-09-02T22:20:45.140813+00:00,NOT_FROZEN,f6f852f6a09bc8888170b059cec38a6aed1b3242
reports/part7/P7_TEST_REPORT.json,1336,7b2e36f64e53e1aa1c8f8ef3fd37019553761ff5258bac56d9e4fc5628581398,2026-09-02T22:20:45.177581+00:00,NOT_FROZEN,f6f852f6a09bc8888170b059cec38a6aed1b3242
reports/part7/PART7_FINAL_DECISION_CARD.md,1295,256129e032e16176a512435cf30281909a1d2e6d24551059ea7507de4248b0a5,2026-09-02T22:20:45.178190+00:00,NOT_FROZEN,f6f852f6a09bc8888170b059cec38a6aed1b3242
reports/part7/PART7_FINAL_SUMMARY.json,1074,b6c606d39c8a9ac0fc34a606eded9c5eebfe97c55bcec39e31b69ecbc13e3901,2026-09-02T22:20:45.179306+00:00,NOT_FROZEN,f6f852f6a09bc8888170b059cec38a6aed1b3242
reports/part7/part7_input_audit.json,335,b29052812697f240368bdf98320df67f3c0a1eee898b944673c44defda0cf44b,2026-09-02T22:20:45.179881+00:00,NOT_FROZEN,f6f852f6a09bc8888170b059cec38a6aed1b3242
reports/part7/part7_validation_report.csv,18139,36a92f9639b1dbc38beffacc3b859e79489de67d1c0fdc95a34dd69b42fda93a,2026-09-02T22:20:45.187149+00:00,NOT_FROZEN,f6f852f6a09bc8888170b059cec38a6aed1b3242
reports/part7/unit_test_evidence.json,1220,8e358f2e33b0e8ce9d3b1428d5858ae7522397d4249aba15409921230987a5ab,2026-09-02T22:20:45.187819+00:00,NOT_FROZEN,f6f852f6a09bc8888170b059cec38a6aed1b3242
