analysis_scope,entity_type,rank_band,fraud_capture_share
DEVELOPMENT_DISCOVERY,USER,top_10,0.048312715028182414
DEVELOPMENT_DISCOVERY,USER,top_100,0.3008564526754996
DEVELOPMENT_DISCOVERY,USER,top_1pct,0.06793060537295952
DEVELOPMENT_DISCOVERY,USER,top_5pct,0.23804992313886245
DEVELOPMENT_DISCOVERY,CARD,top_10,0.029134031183661518
DEVELOPMENT_DISCOVERY,CARD,top_100,0.19991215869994877
DEVELOPMENT_DISCOVERY,CARD,top_1pct,0.08959812605226557
DEVELOPMENT_DISCOVERY,CARD,top_5pct,0.31754629968523534
DEVELOPMENT_DISCOVERY,MERCHANT_IDENTIFIER,top_10,0.22831417904984994
DEVELOPMENT_DISCOVERY,MERCHANT_IDENTIFIER,top_100,0.726227948173633
DEVELOPMENT_DISCOVERY,MERCHANT_IDENTIFIER,top_1pct,0.9272381231242223
DEVELOPMENT_DISCOVERY,MERCHANT_IDENTIFIER,top_5pct,1.0
