analysis_scope,segment_type,segment_value,transactions,fraud_rate,fraud_lift,fraud_capture_share,fraud_amount_capture_share,support_status,priority_class
DEVELOPMENT_DISCOVERY,channel,Swipe Transaction,8742983,0.0005583906545397606,0.39540181386583784,0.35736768904179783,0.3286311397807283,SUFFICIENT,PRIORITY_2
DEVELOPMENT_DISCOVERY,channel,Online Transaction,930503,0.009434682102045882,6.68078949041735,0.6426323109582022,0.671368860219271,SUFFICIENT,PRIORITY_1
DEVELOPMENT_DISCOVERY,amount_band,250–500,122957,0.011426758948250201,8.091398339160607,0.10284752214332772,0.3220730505435059,SUFFICIENT,PRIORITY_1
DEVELOPMENT_DISCOVERY,amount_band,NEGATIVE / REFUND-LIKE,528846,0.001108073049621251,0.7846372251290884,0.0428958348583559,-0.10898813581929817,SUFFICIENT,PRIORITY_2
DEVELOPMENT_DISCOVERY,amount_band,50–100,2372171,0.00120564664183147,0.8537300278679263,0.20935509845545713,0.13919888629864163,SUFFICIENT,PRIORITY_2
DEVELOPMENT_DISCOVERY,amount_band,500+,32895,0.00963672290621675,6.82385653459974,0.023204743430202766,0.19795019088029428,SUFFICIENT,PRIORITY_1
DEVELOPMENT_DISCOVERY,amount_band,ZERO,8583,0.0008155656530350694,0.5775099133823001,0.0005124075836322378,0.0,SUFFICIENT,MONITOR
DEVELOPMENT_DISCOVERY,amount_band,>0–25,3754849,0.0008141472533249672,0.5765055308526114,0.22377571188053583,0.01849159729859568,SUFFICIENT,PRIORITY_2
DEVELOPMENT_DISCOVERY,amount_band,100–250,942678,0.003976967745083687,2.816129258803793,0.27443086157675134,0.38988811243759347,SUFFICIENT,PRIORITY_1
DEVELOPMENT_DISCOVERY,amount_band,25–50,1910507,0.0008793477333503619,0.6226746202837611,0.12297782007173706,0.04138629836066742,SUFFICIENT,PRIORITY_2
DEVELOPMENT_DISCOVERY,mcc,4900,185660,0.0,0.0,0.0,,SUFFICIENT,MONITOR
DEVELOPMENT_DISCOVERY,mcc,7832,94300,0.0014209968186638389,1.0062215673368848,0.00980894517238855,0.0027488724453996823,SUFFICIENT,MONITOR
DEVELOPMENT_DISCOVERY,mcc,5300,452181,0.0023663090665021307,1.67560629723164,0.07832515921235635,0.07541307474600638,SUFFICIENT,PRIORITY_2
DEVELOPMENT_DISCOVERY,mcc,3722,11994,0.011005502751375688,7.793102758831286,0.009662543005636483,0.009248204977024832,SUFFICIENT,PRIORITY_2
DEVELOPMENT_DISCOVERY,mcc,5193,6546,0.012832263978001834,9.086650021192083,0.006148891003586853,0.0055710255030347175,SUFFICIENT,PRIORITY_2
DEVELOPMENT_DISCOVERY,mcc,7542,27413,0.0010578922409075985,0.7491037099720579,0.002122831417904985,0.00051557554787868,SUFFICIENT,MONITOR
DEVELOPMENT_DISCOVERY,mcc,3640,11732,0.010228435049437436,7.242853616326942,0.008784130005124076,0.007733428283675979,SUFFICIENT,PRIORITY_2
DEVELOPMENT_DISCOVERY,mcc,5941,856,0.02570093457943925,18.19907992395297,0.0016104238342727472,0.0005620494048037617,LOW_SUPPORT,LOW_PRIORITY
DEVELOPMENT_DISCOVERY,mcc,5977,4368,0.011446886446886446,8.105650815280418,0.003660054168801698,0.0020482807049516908,SUFFICIENT,PRIORITY_2
DEVELOPMENT_DISCOVERY,mcc,3008,292,0.09246575342465753,65.47589277745968,0.001976429251152917,0.0055428635356804005,LOW_SUPPORT,LOW_PRIORITY
DEVELOPMENT_DISCOVERY,mcc,5094,3687,0.06834825061025224,48.39805617471389,0.01844667301076056,0.022476938769820893,SUFFICIENT,PRIORITY_2
DEVELOPMENT_DISCOVERY,mcc,7549,874,0.008009153318077803,5.671358794691398,0.0005124075836322378,0.0028744179670019904,LOW_SUPPORT,LOW_PRIORITY
DEVELOPMENT_DISCOVERY,mcc,5970,50757,0.0009062789368954035,0.6417448655407781,0.0033672498352975626,0.001224364668495534,SUFFICIENT,MONITOR
DEVELOPMENT_DISCOVERY,mcc,5621,8049,0.0038514101130575225,2.7272206872791425,0.002269233584657053,0.0016260693507220757,SUFFICIENT,PRIORITY_2
DEVELOPMENT_DISCOVERY,mcc,7011,13050,0.01524904214559387,10.797993976195906,0.014567015591830759,0.022285800985286767,SUFFICIENT,PRIORITY_2
DEVELOPMENT_DISCOVERY,mcc,4112,1726,0.028968713789107765,20.513025933455893,0.003660054168801698,0.0027075285618705985,SUFFICIENT,PRIORITY_2
DEVELOPMENT_DISCOVERY,mcc,8011,18675,0.000642570281124498,0.4550102202235485,0.0008784130005124076,0.0022747267213260505,SUFFICIENT,MONITOR
DEVELOPMENT_DISCOVERY,mcc,3730,11054,0.01148905373620409,8.135509879980818,0.009296537588756313,0.007911212271483408,SUFFICIENT,PRIORITY_2
DEVELOPMENT_DISCOVERY,mcc,5655,12630,0.0019002375296912114,1.3455765419912538,0.0017568260010248152,0.001255772533965102,SUFFICIENT,PRIORITY_2
DEVELOPMENT_DISCOVERY,mcc,8043,12110,0.0008257638315441783,0.5847313420502868,0.0007320108337603397,0.000416592182339669,SUFFICIENT,MONITOR
DEVELOPMENT_DISCOVERY,mcc,3174,2367,0.004224757076468103,2.991591276818324,0.0007320108337603397,0.0009052023159370678,SUFFICIENT,PRIORITY_2
DEVELOPMENT_DISCOVERY,mcc,5045,2075,0.12,84.97315862674768,0.01822706976063246,0.016825803708006928,SUFFICIENT,PRIORITY_2
DEVELOPMENT_DISCOVERY,mcc,3144,293,0.08873720136518772,62.835669064147886,0.0019032281677768832,0.004570369983663616,LOW_SUPPORT,LOW_PRIORITY
DEVELOPMENT_DISCOVERY,mcc,4121,381437,0.0005112246583315201,0.36200311655257617,0.014274211258326622,0.005803976537220496,SUFFICIENT,MONITOR
DEVELOPMENT_DISCOVERY,mcc,4899,40071,0.0006488482942776572,0.4594557419529169,0.0019032281677768832,0.002837404151223394,SUFFICIENT,MONITOR
DEVELOPMENT_DISCOVERY,mcc,4814,164615,0.0010691613765452723,0.7570834937231111,0.012883390674181977,0.03166460873861487,SUFFICIENT,PRIORITY_2
DEVELOPMENT_DISCOVERY,mcc,4214,68693,0.0022709737527841266,1.6080984411042172,0.011419369006661299,0.0015103739069033198,SUFFICIENT,PRIORITY_2
DEVELOPMENT_DISCOVERY,mcc,3405,6168,0.005025940337224384,3.558916879362811,0.002269233584657053,0.0015707304237917974,SUFFICIENT,PRIORITY_2
DEVELOPMENT_DISCOVERY,mcc,3359,8402,0.0042846941204475126,3.0340332763656637,0.0026352390015372228,0.0016565252623655827,SUFFICIENT,PRIORITY_2
DEVELOPMENT_DISCOVERY,mcc,3775,10992,0.010189228529839884,7.215091101252229,0.008198521338115805,0.0073209810669539535,SUFFICIENT,PRIORITY_2
