analysis_scope,month,split_name,transactions,fraud_transactions,fraud_rate,total_amount,fraud_amount,fraud_amount_share,fraud_lift_vs_development_baseline
DEVELOPMENT_DISCOVERY,2005-07,DEVELOPMENT,64103,0,0.0,2914033.580000002,,,0.0
DEVELOPMENT_DISCOVERY,2006-07,DEVELOPMENT,77466,141,0.0018201533576020447,3509251.9700000007,12104.29,0.0034492507530030675,1.2888681665043829
DEVELOPMENT_DISCOVERY,2007-07,DEVELOPMENT,91501,103,0.0011256707576966373,4058375.6300000018,10403.689999999999,0.002563510859639179,0.7970983321270634
DEVELOPMENT_DISCOVERY,2008-07,DEVELOPMENT,104929,300,0.0028590761371975336,4642526.229999998,29796.57,0.0064181802156452255,2.0245394177669587
DEVELOPMENT_DISCOVERY,2001-08,DEVELOPMENT,23541,29,0.0012318932925534174,1067895.8799999987,4496.83,0.004210925507082212,0.8723155346614002
DEVELOPMENT_DISCOVERY,2001-10,DEVELOPMENT,24196,32,0.0013225326500247974,1101935.8599999992,6811.220000000001,0.006181140161823943,0.936498138830084
DEVELOPMENT_DISCOVERY,2001-12,DEVELOPMENT,24916,29,0.0011639107400866914,1141628.8499999996,2737.99,0.002398318858182325,0.8241764328730143
DEVELOPMENT_DISCOVERY,2002-01,DEVELOPMENT,25434,19,0.0007470315325941653,1142670.9499999995,1437.99,0.0012584462744939832,0.5289802409858869
DEVELOPMENT_DISCOVERY,2002-11,DEVELOPMENT,31981,53,0.0016572339826772147,1476003.27,3901.4700000000003,0.0026432665017063275,1.1735033840972315
DEVELOPMENT_DISCOVERY,2003-01,DEVELOPMENT,34594,21,0.0006070416835289356,1561576.1999999997,2372.67,0.0015194071221116207,0.4298520772296018
DEVELOPMENT_DISCOVERY,2003-09,DEVELOPMENT,40278,0,0.0,1844623.570000001,,,0.0
DEVELOPMENT_DISCOVERY,2003-12,DEVELOPMENT,44111,36,0.0008161229625263539,2006418.0100000012,5359.639999999999,0.0026712479519658996,0.577904549614026
