analysis_scope,interaction_type,segment_value,transactions,transaction_share,fraud_transactions,fraud_rate,fraud_lift,fraud_capture_share,support_status
DEVELOPMENT_DISCOVERY,channel_x_amount_band,Swipe Transaction × 250–500,101871,0.010530950269633925,450,0.004417351356126867,3.1279691457853938,0.032940487519215286,SUFFICIENT
DEVELOPMENT_DISCOVERY,channel_x_amount_band,Online Transaction × 100–250,110313,0.011403644973487325,2466,0.022354572897120013,15.829488906834777,0.18051387160529975,SUFFICIENT
DEVELOPMENT_DISCOVERY,channel_x_amount_band,Online Transaction × >0–25,294028,0.03039524738031357,1809,0.006152475274463657,4.35662714536786,0.13242075982724544,SUFFICIENT
DEVELOPMENT_DISCOVERY,channel_x_amount_band,Online Transaction × 25–50,348774,0.0360546342859234,1062,0.0030449517452562406,2.156159730503756,0.07773955054534808,SUFFICIENT
DEVELOPMENT_DISCOVERY,channel_x_amount_band,Swipe Transaction × 25–50,1561733,0.1614446953249325,618,0.0003957142482101614,0.2802090798668854,0.04523826952638899,SUFFICIENT
DEVELOPMENT_DISCOVERY,channel_x_amount_band,Swipe Transaction × 100–250,832365,0.08604602311927675,1283,0.0015413910964540796,1.091473917873742,0.09391698997145158,SUFFICIENT
DEVELOPMENT_DISCOVERY,channel_x_amount_band,Swipe Transaction × >0–25,3460821,0.35776358181528356,1248,0.00036060807536708773,0.25535005991878107,0.09135495205329039,SUFFICIENT
DEVELOPMENT_DISCOVERY,channel_x_amount_band,Online Transaction × 250–500,21086,0.002179772627985403,955,0.045290714217964524,32.070792029681634,0.06990703462411244,SUFFICIENT
DEVELOPMENT_DISCOVERY,channel_x_amount_band,Online Transaction × 50–100,143743,0.014859482920634815,1752,0.0121884196099984,8.630737607747967,0.1282482980748115,SUFFICIENT
DEVELOPMENT_DISCOVERY,channel_x_amount_band,Online Transaction × 500+,5543,0.0005730095644941234,244,0.04401948403391665,31.170621662346555,0.017861064343752286,SUFFICIENT
DEVELOPMENT_DISCOVERY,channel_x_amount_band,Online Transaction × NEGATIVE / REFUND-LIKE,7009,0.0007245578274471064,485,0.06919674703952061,48.99888468870098,0.035502525437376475,SUFFICIENT
DEVELOPMENT_DISCOVERY,channel_x_amount_band,Online Transaction × ZERO,7,7.23627449298009e-07,6,0.8571428571428571,606.9511330481977,0.0004392065002562038,LOW_SUPPORT
DEVELOPMENT_DISCOVERY,channel_x_amount_band,Swipe Transaction × 500+,27352,0.0028275225704570204,73,0.0026689090377303307,1.8898802585284993,0.005343679086450479,SUFFICIENT
DEVELOPMENT_DISCOVERY,channel_x_amount_band,Swipe Transaction × 50–100,2228428,0.23036452422632336,1108,0.0004972114872008429,0.35208025477465293,0.08110680038064563,SUFFICIENT
DEVELOPMENT_DISCOVERY,channel_x_amount_band,Swipe Transaction × NEGATIVE / REFUND-LIKE,521837,0.053945082465617876,101,0.00019354702713682626,0.1370525186552748,0.007393309420979431,SUFFICIENT
DEVELOPMENT_DISCOVERY,channel_x_amount_band,Swipe Transaction × ZERO,8576,0.0008865470007399607,1,0.0001166044776119403,0.0825687564392371,7.320108337603396e-05,SUFFICIENT
