feature_name,bin_order,bin,feature_value,transactions,fraud_transactions,fraud_rate,support_threshold,support_status
card_channel_is_new,0,0,0,45847,43,0.0009379021528126159,1000,INTERPRETABLE
card_channel_is_new,1,1,1,36,0,0.0,1000,LOW_SUPPORT
card_cold_start,0,0,0,45865,43,0.0009375340673716342,1000,INTERPRETABLE
card_cold_start,1,1,1,18,0,0.0,1000,LOW_SUPPORT
card_mcc_is_new,0,0,0,45027,33,0.0007328935971750283,1000,INTERPRETABLE
card_mcc_is_new,1,1,1,856,10,0.011682242990654205,1000,LOW_SUPPORT
card_merchant_is_new,0,0,0,43239,18,0.00041629084853951295,1000,INTERPRETABLE
card_merchant_is_new,1,1,1,2644,25,0.009455370650529501,1000,INTERPRETABLE
current_positive_amount,0,false,false,1144,1,0.0008741258741258741,1000,INTERPRETABLE
current_positive_amount,1,true,true,44739,42,0.0009387782471669013,1000,INTERPRETABLE
merchant_cold_start,0,0,0,44612,34,0.0007621267820317404,1000,INTERPRETABLE
merchant_cold_start,1,1,1,1271,9,0.007081038552321007,1000,INTERPRETABLE
state_missing_flag,0,0,0,37239,20,0.000537071349928838,1000,INTERPRETABLE
state_missing_flag,1,1,1,8644,23,0.0026608051827857475,1000,INTERPRETABLE
user_channel_is_new,0,0,0,45871,43,0.0009374114364195243,1000,INTERPRETABLE
user_channel_is_new,1,1,1,12,0,0.0,1000,LOW_SUPPORT
user_cold_start,0,0,0,45877,43,0.0009372888375438673,1000,INTERPRETABLE
user_cold_start,1,1,1,6,0,0.0,1000,LOW_SUPPORT
user_mcc_is_new,0,0,0,45435,36,0.0007923407065037966,1000,INTERPRETABLE
user_mcc_is_new,1,1,1,448,7,0.015625,1000,LOW_SUPPORT
user_merchant_is_new,0,0,0,44069,22,0.0004992171367628038,1000,INTERPRETABLE
user_merchant_is_new,1,1,1,1814,21,0.011576626240352812,1000,INTERPRETABLE
