table_name,column_name,raw_dtype,standardized_dtype,description,grain,nullable,candidate_key,decision_time_available,target_related,pii_like,use_status,reason
card_transaction.v1,User,string_or_numeric_in_csv,numeric,Observed IBM TabFormer field; semantic mapping retained for Part 2.,transaction,False,False,available_at_t0,False,True,ENTITY_KEY_ONLY,Observed synthetic user identifier; use only for entity history keys.
card_transaction.v1,Card,string_or_numeric_in_csv,numeric,Observed IBM TabFormer field; semantic mapping retained for Part 2.,transaction,False,False,available_at_t0,False,True,ENTITY_KEY_ONLY,Observed card index; combine with User to form the composite card_key.
card_transaction.v1,Year,string_or_numeric_in_csv,date,Observed IBM TabFormer field; semantic mapping retained for Part 2.,transaction,False,False,available_at_t0,False,False,DERIVE,Derive transaction_timestamp; do not use as a standalone feature.
card_transaction.v1,Month,string_or_numeric_in_csv,date,Observed IBM TabFormer field; semantic mapping retained for Part 2.,transaction,False,False,available_at_t0,False,False,DERIVE,Derive transaction_timestamp; do not use as a standalone feature.
card_transaction.v1,Day,string_or_numeric_in_csv,date,Observed IBM TabFormer field; semantic mapping retained for Part 2.,transaction,False,False,available_at_t0,False,False,DERIVE,Derive transaction_timestamp; do not use as a standalone feature.
card_transaction.v1,Time,string_or_numeric_in_csv,string,Observed IBM TabFormer field; semantic mapping retained for Part 2.,transaction,False,False,available_at_t0,False,False,DERIVE,Derive transaction_timestamp; same-timestamp history is excluded.
card_transaction.v1,Amount,string_or_numeric_in_csv,numeric,Observed IBM TabFormer field; semantic mapping retained for Part 2.,transaction,False,False,available_at_t0,False,False,MODEL_OK,Signed transaction amount; retain raw sign and document amount semantics.
card_transaction.v1,Use Chip,string_or_numeric_in_csv,string,Observed IBM TabFormer field; semantic mapping retained for Part 2.,transaction,False,False,available_at_t0,False,False,MODEL_OK_WITH_MISSINGNESS,Transaction channel feature; preserve categorical missingness if present.
card_transaction.v1,Merchant Name,string_or_numeric_in_csv,string,Observed IBM TabFormer field; semantic mapping retained for Part 2.,transaction,False,False,available_at_t0,False,False,EDA_ONLY,"Identifier-like merchant value; 100,343 distinct values observed, no merchant dimension supplied."
card_transaction.v1,Merchant City,string_or_numeric_in_csv,string,Observed IBM TabFormer field; semantic mapping retained for Part 2.,transaction,False,False,available_at_t0,False,False,MODEL_OK_WITH_MISSINGNESS,Categorical location feature with source-coverage caveat.
card_transaction.v1,Merchant State,string_or_numeric_in_csv,string,Observed IBM TabFormer field; semantic mapping retained for Part 2.,transaction,True,False,available_at_t0,False,False,MODEL_OK_WITH_MISSINGNESS,Structural missingness is measured and retained with an indicator.
card_transaction.v1,Zip,string_or_numeric_in_csv,numeric,Observed IBM TabFormer field; semantic mapping retained for Part 2.,transaction,True,False,available_at_t0,False,True,MODEL_OK_WITH_MISSINGNESS,Code-like location field; retain as string and preserve missingness.
card_transaction.v1,MCC,string_or_numeric_in_csv,numeric,Observed IBM TabFormer field; semantic mapping retained for Part 2.,transaction,False,False,available_at_t0,False,False,MODEL_OK,Merchant category code treated as categorical.
card_transaction.v1,Errors?,string_or_numeric_in_csv,string,Observed IBM TabFormer field; semantic mapping retained for Part 2.,transaction,True,False,available_at_t0,False,False,EDA_ONLY,98.4% blank source descriptor; use for EDA only until semantics are confirmed.
card_transaction.v1,Is Fraud?,string_or_numeric_in_csv,string,Observed IBM TabFormer field; semantic mapping retained for Part 2.,transaction,False,False,post_event_target,True,False,TARGET_ONLY,Observed synthetic target label; never a model feature.
